id,g1,g2,g3,g4,g5,g6,g7,g8,g9
1518,12,16,31,0,0,0,0,0,0
1520,12,16,31,0,0,0,0,0,0
1545,10,0,0,0,0,0,0,0,0
1551,4,33,0,0,0,0,0,0,0
1556,12,16,31,0,0,0,0,0,0
1558,12,16,31,0,0,0,0,0,0
1600,10,13,0,0,0,0,0,0,0
1601,10,13,0,0,0,0,0,0,0
1627,4,8,25,0,0,0,0,0,0
1638,5,31,0,0,0,0,0,0,0
1671,12,0,0,0,0,0,0,0,0
1692,15,16,24,0,0,0,0,0,0
1698,8,9,31,0,0,0,0,0,0
1706,9,0,0,0,0,0,0,0,0
1715,8,31,0,0,0,0,0,0,0
1741,5,8,31,0,0,0,0,0,0
1754,5,8,12,31,0,0,0,0,0
1757,11,12,0,0,0,0,0,0,0
1758,12,0,0,0,0,0,0,0,0
1779,5,8,0,0,0,0,0,0,0
1780,5,8,31,0,0,0,0,0,0
1786,12,15,24,31,0,0,0,0,0
1802,12,0,0,0,0,0,0,0,0
1804,12,0,0,0,0,0,0,0,0
1814,12,0,0,0,0,0,0,0,0
1816,12,0,0,0,0,0,0,0,0
1819,12,15,31,0,0,0,0,0,0
1840,12,24,0,0,0,0,0,0,0
1864,12,31,0,0,0,0,0,0,0
1871,2,5,31,0,0,0,0,0,0
1904,11,13,15,0,0,0,0,0,0
1934,5,13,0,0,0,0,0,0,0
1942,12,31,0,0,0,0,0,0,0
1955,2,31,0,0,0,0,0,0,0
1968,8,31,0,0,0,0,0,0,0
1985,5,24,31,0,0,0,0,0,0
2012,11,15,0,0,0,0,0,0,0
2025,5,12,13,15,0,0,0,0,0
2037,11,15,0,0,0,0,0,0,0
2054,10,0,0,0,0,0,0,0,0
2133,5,33,0,0,0,0,0,0,0
2135,4,25,0,0,0,0,0,0,0
2143,5,0,0,0,0,0,0,0,0
2144,5,0,0,0,0,0,0,0,0
2148,8,31,0,0,0,0,0,0,0
2155,12,25,31,0,0,0,0,0,0
2164,2,9,31,0,0,0,0,0,0
2180,8,31,0,0,0,0,0,0,0
2194,4,14,31,0,0,0,0,0,0
2200,10,13,33,0,0,0,0,0,0
2201,10,13,33,0,0,0,0,0,0
2207,8,9,31,0,0,0,0,0,0
2229,13,31,0,0,0,0,0,0,0
2240,9,11,15,0,0,0,0,0,0
2259,7,9,0,0,0,0,0,0,0
2261,12,31,0,0,0,0,0,0,0
2262,12,15,31,0,0,0,0,0,0
2266,12,31,0,0,0,0,0,0,0
2274,2,31,32,0,0,0,0,0,0
2276,8,9,12,31,0,0,0,0,0
2283,12,24,0,0,0,0,0,0,0
2295,31,0,0,0,0,0,0,0,0
2350,10,0,0,0,0,0,0,0,0
2364,12,31,0,0,0,0,0,0,0
2413,5,25,0,0,0,0,0,0,0
2445,5,8,0,0,0,0,0,0,0
2481,12,15,31,0,0,0,0,0,0
2528,12,0,0,0,0,0,0,0,0
2541,13,14,0,0,0,0,0,0,0
2591,5,31,0,0,0,0,0,0,0
2617,11,13,15,0,0,0,0,0,0
2687,13,0,0,0,0,0,0,0,0
2692,7,0,0,0,0,0,0,0,0
2693,7,0,0,0,0,0,0,0,0
2853,8,9,15,31,32,0,0,0,0
2878,12,0,0,0,0,0,0,0,0
2895,12,0,0,0,0,0,0,0,0
2899,12,16,31,0,0,0,0,0,0
2900,31,0,0,0,0,0,0,0,0
2909,9,12,31,0,0,0,0,0,0
2912,2,31,0,0,0,0,0,0,0
2922,11,13,15,0,0,0,0,0,0
2951,5,13,15,0,0,0,0,0,0
2968,11,12,15,24,0,0,0,0,0
2985,12,13,31,34,0,0,0,0,0
3000,12,25,31,0,0,0,0,0,0
3023,13,15,0,0,0,0,0,0,0
3029,8,31,32,0,0,0,0,0,0
3036,5,0,0,0,0,0,0,0,0
3047,10,0,0,0,0,0,0,0,0
3067,11,13,15,0,0,0,0,0,0
3084,5,31,32,0,0,0,0,0,0
3088,7,0,0,0,0,0,0,0,0
3102,13,32,0,0,0,0,0,0,0
3126,12,0,0,0,0,0,0,0,0
3127,12,15,16,0,0,0,0,0,0
3141,12,31,0,0,0,0,0,0,0
3197,12,15,16,0,0,0,0,0,0
3216,12,0,0,0,0,0,0,0,0
3230,2,9,31,32,0,0,0,0,0
3272,15,16,0,0,0,0,0,0,0
3319,10,13,0,0,0,0,0,0,0
3322,10,0,0,0,0,0,0,0,0
3340,8,12,15,31,0,0,0,0,0
3349,12,31,0,0,0,0,0,0,0
3351,12,0,0,0,0,0,0,0,0
3363,8,12,0,0,0,0,0,0,0
3378,12,13,0,0,0,0,0,0,0
3380,12,13,0,0,0,0,0,0,0
3384,12,13,0,0,0,0,0,0,0
3405,14,0,0,0,0,0,0,0,0
3418,8,31,0,0,0,0,0,0,0
3448,15,24,0,0,0,0,0,0,0
3466,12,0,0,0,0,0,0,0,0
3568,11,12,15,31,0,0,0,0,0
3637,9,0,0,0,0,0,0,0,0
3641,14,0,0,0,0,0,0,0,0
3683,12,16,0,0,0,0,0,0,0
3719,8,31,0,0,0,0,0,0,0
3725,8,31,0,0,0,0,0,0,0
3730,9,31,0,0,0,0,0,0,0
3735,5,31,0,0,0,0,0,0,0
3783,14,0,0,0,0,0,0,0,0
3794,31,0,0,0,0,0,0,0,0
3795,12,35,0,0,0,0,0,0,0
3798,12,0,0,0,0,0,0,0,0
3814,5,0,0,0,0,0,0,0,0
3915,4,14,0,0,0,0,0,0,0
3932,12,15,16,0,0,0,0,0,0
3953,5,9,32,33,0,0,0,0,0
4034,13,14,0,0,0,0,0,0,0
4035,14,0,0,0,0,0,0,0,0
4036,14,31,0,0,0,0,0,0,0
4041,14,0,0,0,0,0,0,0,0
4042,14,0,0,0,0,0,0,0,0
4043,13,14,0,0,0,0,0,0,0
4126,9,15,0,0,0,0,0,0,0
4152,12,31,0,0,0,0,0,0,0
4157,8,9,0,0,0,0,0,0,0
4174,10,14,31,0,0,0,0,0,0
4316,2,31,0,0,0,0,0,0,0
4345,14,0,0,0,0,0,0,0,0
4348,8,9,31,0,0,0,0,0,0
4438,8,31,0,0,0,0,0,0,0
4641,12,15,24,32,0,0,0,0,0
4678,12,16,0,0,0,0,0,0,0
4691,7,9,11,15,0,0,0,0,0
4706,14,0,0,0,0,0,0,0,0
4716,14,0,0,0,0,0,0,0,0
4719,5,7,0,0,0,0,0,0,0
4754,31,0,0,0,0,0,0,0,0
4816,12,26,0,0,0,0,0,0,0
4820,8,31,0,0,0,0,0,0,0
4833,13,31,0,0,0,0,0,0,0
4841,10,33,0,0,0,0,0,0,0
4884,5,33,0,0,0,0,0,0,0
4887,5,0,0,0,0,0,0,0,0
4959,8,0,0,0,0,0,0,0,0
4985,13,14,0,0,0,0,0,0,0
